ME1_FO_FLOW_HOUR_INLET,ME1_RPM,ME1_SCAV_AIR_PRESS,ME1_JCW_INLET_TEMP,ME1_JCW_INLET_PRESS,ME1_CYL1_CFW_OUTLET_TEMP,ME1_CYL2_CFW_OUTLET_TEMP,ME1_CYL3_CFW_OUTLET_TEMP,ME1_CYL4_CFW_OUTLET_TEMP,ME1_CYL5_CFW_OUTLET_TEMP,ME1_CYL1_EXH_GAS_OUTLET_TEMP,ME1_CYL2_EXH_GAS_OUTLET_TEMP,ME1_CYL3_EXH_GAS_OUTLET_TEMP,ME1_CYL4_EXH_GAS_OUTLET_TEMP,ME1_CYL5_EXH_GAS_OUTLET_TEMP,ME1_TC1_EXH_INLET_TEMP,ME1_TC1_EXH_OUTLET_TEMP,ME1_TC1_LO_INLET_PRESS,ME1_TC1_LO_OUTLET_TEMP,ME1_LO_INLET_PRESS,ME1_LO_INLET_TEMP,ME1_CYL_PCO_OUTLET_TEMP_AVG
1259.719796,75.85122449,1.5519999999999998,69.54081633,3.792,76.99795918,78.37551020000001,76.86938776,76.77346939,76.5122449,354.0489796,362.73469389999997,354.3204082,339.377551,350.855102,381.1306122,268.58979589999996,2.138,61.38367347,2.454,48.20408163,52.99959183799999
1209.3375,75.87316667,1.5565666669999998,69.5,3.781166667,76.98166667,80.94666667,76.8,76.7,76.48,352.0483333,361.84,355.81,338.575,353.5,382.7733333,268.7083333,2.142933333,61.365,2.451633333,48.20166667,52.991
1282.392667,75.80166667,1.5533,69.5,3.769733333,76.995,83.06666667,76.8,76.73166667,76.49666667,352.0183333,362.5583333,356.7383333,338.7483333,350.505,381.2366667,268.6816667,2.138033333,61.335,2.4369333330000003,48.2,52.959
1256.346833,75.78916667,1.5533,69.5,3.761566667,76.98833333,83.04333333,76.8,76.73,76.5,352.8016667,364.6383333,352.4716667,340.0933333,350.5066667,381.7016667,269.1233333,2.1364,61.32,2.4451,48.175,52.927000002
1211.556333,75.78483333,1.5418666669999999,69.54833333,3.7681,77.0,83.16333333,76.95833333,76.8,76.55833333,356.6283333,363.8633333,352.745,340.72,348.9033333,380.89666669999997,269.1316667,2.133133333,61.445,2.4402,48.2,53.003666666
1288.2985,75.74566667,1.5663666669999998,69.52833333,3.7795333330000003,76.99166667,83.14333333,76.99166667,76.8,76.55,357.4916667,364.08666669999997,357.0033333,340.0766667,348.28333330000004,380.035,269.0783333,2.1315,61.43333333,2.458166667,48.19833333,52.973666666
1219.173833,75.852,1.5565666669999998,69.50166667,3.7926,76.99666667,83.06833333,76.91666667,76.78,76.50666667,357.5183333,362.26,356.775,340.6416667,349.1366667,381.5533333,269.4216667,2.144566667,61.47,2.4402,48.15666667,52.922333331999994
1265.054333,75.90516667,1.5533,69.52166667,3.7713666669999997,76.96666667,83.15,76.89,76.76833333,76.50666667,357.5683333,358.465,357.21,341.27166669999997,349.4983333,382.365,269.7433333,2.133133333,61.37166667,2.4483666669999997,48.17833333,52.912333334
1271.097,75.70416667,1.5516666669999999,69.54666667,3.773,76.98666667,83.2,76.98333333,76.8,76.57166667,357.1383333,356.7266667,355.81,342.28,352.7666667,383.2316667,269.78833330000003,2.129866667,61.44166667,2.4402,48.19833333,52.974999998
1212.7805,75.70033333,1.550033333,69.555,3.7681,77.0,83.245,76.99,76.8,76.57166667,357.6266667,359.9216667,356.91833330000003,340.2666667,350.84166669999996,382.7533333,269.89,2.144566667,61.47166667,2.4483666669999997,48.19666667,52.980333332
