,ME1_FO_FLOW_HOUR_INLET,ME1_RPM,ME1_SCAV_AIR_PRESS,ME1_CYL1_PCO_OUTLET_TEMP,ME1_CYL2_PCO_OUTLET_TEMP,ME1_CYL3_PCO_OUTLET_TEMP,ME1_CYL4_PCO_OUTLET_TEMP,ME1_CYL5_PCO_OUTLET_TEMP,ME1_JCW_INLET_TEMP,ME1_JCW_INLET_PRESS,ME1_CYL1_CFW_OUTLET_TEMP,ME1_CYL2_CFW_OUTLET_TEMP,ME1_CYL3_CFW_OUTLET_TEMP,ME1_CYL4_CFW_OUTLET_TEMP,ME1_CYL5_CFW_OUTLET_TEMP,ME1_CYL1_EXH_GAS_OUTLET_TEMP,ME1_CYL2_EXH_GAS_OUTLET_TEMP,ME1_CYL3_EXH_GAS_OUTLET_TEMP,ME1_CYL4_EXH_GAS_OUTLET_TEMP,ME1_CYL5_EXH_GAS_OUTLET_TEMP,ME1_TC1_EXH_INLET_TEMP,ME1_TC1_EXH_OUTLET_TEMP,ME1_TC1_LO_INLET_PRESS,ME1_TC1_LO_OUTLET_TEMP,ME1_LO_INLET_PRESS,ME1_LO_INLET_TEMP
4790,1171.072,75.7655,1.47,54.80333333,55.3,56.05833333,55.07,55.99833333,70.30166667,3.663566667,78.7,79.19833333,78.48,79.105,78.07333333,369.3633333,372.5466667,368.84,349.02166669999997,366.7666667,387.2366667,281.9433333,2.0253333330000003,64.99666667,2.3226,50.5
4791,1173.441667,75.78633333,1.4716333330000002,54.81,55.3,56.07,55.06833333,56.0,70.305,3.658666667,78.695,79.19,78.485,79.14333333,78.13666667,371.83666669999997,371.405,365.665,348.4533333,366.405,387.025,281.6883333,2.0188,65.0,2.3193333330000003,50.5
4792,1176.741695,75.77830508,1.471661017,54.8,55.22203390000001,56.03220339,55.04745763,56.0,70.30338983,3.66420339,78.69830508,79.05254237,78.49322034,79.15932203,78.15932203,371.8254237,370.4830508,363.8627119,349.4762712,367.4542373,388.2237288,281.9644068,2.01979661,64.97118644,2.3237627119999997,50.5
4793,1180.609167,75.829,1.481433333,54.92,55.21833333,56.045,55.09833333,56.0,70.325,3.671733333,78.73166667,78.99333333,78.5,79.165,78.185,374.315,371.1116667,363.5833333,350.0633333,367.3083333,388.3633333,281.5066667,2.022066667,65.045,2.338933333,50.5
4794,1173.976,75.80416667,1.4732666669999999,55.005,55.33333333,56.08333333,55.19333333,56.00833333,70.315,3.661933333,78.8,79.16666667,78.50333333,79.19333333,78.19666667,373.055,373.9816667,363.5183333,347.66833330000003,367.1966667,387.8833333,282.125,2.015533333,65.01,2.3275,50.50666667
4795,1177.578,75.83800000000001,1.47,55.10333333,55.30666667,56.115,55.2,56.00666667,70.30666667,3.6701,78.91833333,79.16666667,78.50666667,79.195,78.17333333,372.1533333,373.61,362.8233333,348.9333333,366.5066667,387.6783333,281.88,2.0057333330000002,65.01666667,2.3177,50.50333333
4796,1178.174667,75.86733333,1.4716333330000002,54.90833333,55.29833333,56.15833333,55.18166667,56.0,70.3,3.661933333,78.71,79.015,78.50166667,79.12,78.07666667,369.3616667,374.2366667,365.5933333,349.8433333,366.915,386.5233333,281.9216667,2.0139,64.99,2.3128,50.50166667
4797,1183.883833,75.84566667,1.481433333,54.91833333,55.32333333,56.175,55.19,56.02,70.31,3.663566667,78.69833333,79.11,78.52333333,79.18166667,78.18166667,370.2083333,374.6416667,366.8866667,349.96166669999997,366.28,387.265,281.6083333,2.0139,65.12166667,2.3340333330000003,50.51
4798,1173.8005,75.76983333,1.47,54.93833333,55.34333333,56.19,55.19833333,56.03666667,70.30833333,3.661933333,78.69666667,79.2,78.51166667,79.2,78.2,372.865,374.6833333,366.76,349.14,365.03833330000003,387.10333330000003,281.9983333,2.015533333,65.05,2.329133333,50.505
4799,1180.633833,75.8345,1.4716333330000002,54.85833333,55.3,56.19333333,55.2,56.00833333,70.11833333,3.671733333,78.52,78.99333333,78.33833333,78.96666667,77.99833333,372.0733333,374.0066667,367.1616667,351.0483333,365.39666669999997,388.23,282.0633333,2.022066667,65.03833333,2.324233333,50.50833333
4800,1178.895833,75.88366667,1.478166667,54.83666667,55.3,56.18,55.19666667,56.00166667,70.05666667,3.6897,78.29,78.755,78.20333333,78.79833333,77.775,372.7466667,374.2033333,368.2416667,350.4316667,365.1983333,387.8633333,281.83166669999997,2.009,65.105,2.329133333,50.50333333
4801,1180.256167,75.798,1.4798,54.86666667,55.31333333,56.165,55.19833333,56.00333333,70.27666667,3.6848,78.54333333,79.01,78.37333333,78.99833333,77.985,369.0016667,374.5766667,370.63,350.2483333,365.8816667,389.015,281.985,2.015533333,65.09666667,2.320966667,50.50333333
